gen,block_id,island_id,op_id,reward,improvement,diversity_change
1,0,0,0,-0.002879417002897849,0,-0.02879417002897849
1,0,1,0,-0.004392877781403271,0,-0.0439287778140327
1,0,2,0,-0.002425243483535768,0,-0.02425243483535768
1,0,3,0,-0.00355758181994641,0,-0.03557581819946409
1,0,4,0,-0.0009855944597915391,0,-0.009855944597915389
1,0,5,0,0.0004840903776389717,0.003232006379434497,-0.02747916001795525
1,0,6,0,0.0005740860099412246,0.003359874312594486,-0.02785788302653261
1,0,7,0,0.05854199266011764,0.05990168587752602,-0.01359693217408375
1,1,0,0,0.2,0.9350100880321027,-0.03966463195895342
1,1,1,0,0.2,0.9603978200790132,-0.03580919737867756
1,1,2,0,0.2,0.9616952903097424,-0.01241717112431946
1,1,3,0,0.2,0.9611374349078839,-0.03035546291511242
1,1,4,0,0.2,0.9609857949961175,-0.03593210654512802
1,1,5,0,0.2,0.9601874915837125,-0.01785674321141378
1,1,6,0,0.2,0.9609537839498798,-0.02297160229847599
1,1,7,0,0.2,0.9611840310773018,-0.01599078489980113
1,2,0,0,0.2,0.9357521837990657,-0.003661331567763867
1,2,1,0,0.2,0.9618936881594775,-0.007617940191268879
1,2,2,0,0.2,0.9610951643015484,-0.00606721415593129
1,2,3,0,0.2,0.9604010839352963,-0.01811429825643118
1,2,4,0,0.2,0.9607625010081441,-0.005325968584269772
1,2,5,0,0.2,0.9607523524675432,-0.00855613969505048
1,2,6,0,0.2,0.9609145820816684,-0.001142705157329282
1,2,7,0,0.2,0.9614529671715616,-0.01609431715482426
2,0,0,1,0.2,0.4291099355009226,0.00718145896859864
2,0,1,1,0.2,0.4492791378315448,-0.002055499095742309
2,0,2,1,0.2,0.4811888736813222,0.006277864087002136
2,0,3,1,0.2,0.463534184668974,0.008773241079831021
2,0,4,1,0.2,0.4625978947510117,-0.004269060085988451
2,0,5,1,0.2,0.4762949853478647,-0.007910393362208033
2,0,6,1,0.2,0.4958204972409506,-0.006500710244376814
2,0,7,1,0.2,0.4561867173407622,-0.002767362543024565
2,1,0,1,0.04192705429039979,0.04191161884883696,0.0001543544156283015
2,1,1,1,0.05630362696321196,0.05629054344611484,0.0001308351709712434
2,1,2,1,0.05259696966847947,0.0525790919584038,0.0001787771007567968
2,1,3,1,0.04614961585748682,0.04614339300724569,6.222850241122818e-05
2,1,4,1,0.06607961681432846,0.0660609429697829,0.0001867384454555289
2,1,5,1,0.05664887447561306,0.05663049968253683,0.0001837479307622847
2,1,6,1,0.05546747228121387,0.0554621329124306,5.339368783269932e-05
2,1,7,1,0.08625766885262411,0.08625294800502627,4.720847597843719e-05
2,2,0,1,0.05465054143493114,0.0555458654676271,-0.008953240326959502
2,2,1,1,0.05417830979649566,0.05634490760679243,-0.02166597810296769
2,2,2,1,0.05186009399468234,0.05227233820774564,-0.004122442130633036
2,2,3,1,0.05642242981403514,0.05865819453895897,-0.02235764724923827
2,2,4,1,0.06992565876561455,0.07037074751500748,-0.004450887493929259
2,2,5,1,0.06234352148837837,0.06275408358320307,-0.004105620948246985
2,2,6,1,0.04196268541454561,0.04307929922524213,-0.01116613810696521
2,2,7,1,0.02986880553390285,0.03197462667993027,-0.0210582114602742
3,0,0,2,0.0001661515814294176,0,0.001661515814294176
3,0,1,2,0,0,0
3,0,2,2,7.930829137974827e-05,0,0.0007930829137974826
3,0,3,2,0.0273130534509369,0.02704906826594647,0.002639851849904326
3,0,4,2,0.01363117002630148,0.01353574893148308,0.0009542109481840005
3,0,5,2,0.01212885809806318,0.01159872458312529,0.005301335149378975
3,0,6,2,0.000199670031448217,0,0.00199670031448217
3,0,7,2,0.01322335298456546,0.01276419562936986,0.004591573551955982
3,1,0,2,0.01562378716574996,0.01561394235908946,9.844806660499333e-05
3,1,1,2,0.01518617226871495,0.01516671586830922,0.0001945640040572176
3,1,2,2,4.166338048000596e-06,0,4.166338048000595e-05
3,1,3,2,0.005533537708269076,0.005528287105561162,5.250602707913832e-05
3,1,4,2,1.935660649806138e-05,0,0.0001935660649806138
3,1,5,2,1.174696611400128e-07,0,1.174696611400128e-06
3,1,6,2,-2.193725672640368e-06,0,-2.193725672640368e-05
3,1,7,2,1.127897305774894e-06,0,1.127897305774894e-05
3,2,0,2,3.20012919934054e-06,0,3.20012919934054e-05
3,2,1,2,-1.404360680868494e-06,0,-1.404360680868494e-05
3,2,2,2,0.01049388451024406,0.01049441759600825,-5.330857641906717e-06
3,2,3,2,-8.359299996159309e-07,0,-8.359299996159308e-06
3,2,4,2,0,0,0
3,2,5,2,0.006992304497791137,0.00699523771570757,-2.933217916432918e-05
3,2,6,2,0.01638734044319137,0.016391986179874,-4.64573668263607e-05
3,2,7,2,0.01984427715487267,0.01984243856918882,1.838585683845706e-05
4,0,0,1,-0.000359239541536846,0,-0.00359239541536846
4,0,1,1,0,0,0
4,0,2,1,-0.0004916305699894326,0,-0.004916305699894326
4,0,3,1,-0.0004824809420506289,0,-0.004824809420506289
4,0,4,1,-0.00025413125773407,0,-0.0025413125773407
4,0,5,1,0.0018726991424356,0.001796310510067103,0.000763886323684973
4,0,6,1,-4.362314162455854e-05,0,-0.0004362314162455853
4,0,7,1,-0.0008407928271938384,0,-0.008407928271938384
4,1,0,1,8.07107019760362e-05,8.132472751214327e-05,-6.140255361070796e-06
4,1,1,1,5.692644768449592e-06,0,5.692644768449592e-05
4,1,2,1,0,0,0
4,1,3,1,0.0001466324918345418,0.0001483129552604559,-1.680463425914047e-05
4,1,4,1,3.148553045335366e-05,0,0.0003148553045335366
4,1,5,1,-3.735081316276479e-06,0,-3.735081316276478e-05
4,1,6,1,-2.089832627319432e-06,0,-2.089832627319432e-05
4,1,7,1,4.064065516530546e-06,0,4.064065516530546e-05
4,2,0,1,0.0030200679153273,0.003523086771557336,-0.005030188562300364
4,2,1,1,0,0,0
4,2,2,1,-0.0003866531303931255,0,-0.003866531303931255
4,2,3,1,0.01998683598637115,0.02094454758082921,-0.009577115944580578
4,2,4,1,-0.0001427088010826347,0,-0.001427088010826347
4,2,5,1,0,0,0
4,2,6,1,0.008964172112293492,0.01054949304734138,-0.01585320935047884
4,2,7,1,0.006550194748442578,0.006601487595905949,-0.000512928474633717
5,0,0,1,-0.0003445014182696542,0,-0.003445014182696542
5,0,1,1,0.03282674579293539,0.03245562959293741,0.003711161999979749
5,0,2,1,-7.197244100268438e-05,0,-0.0007197244100268438
5,0,3,1,0.02138696254239907,0.02138942344242614,-2.460900027071583e-05
5,0,4,1,-0.000190437279028479,0,-0.00190437279028479
5,0,5,1,-0.0003870970136885758,0,-0.003870970136885758
5,0,6,1,-2.27012144906523e-05,0,-0.0002270121449065229
5,0,7,1,-0.0002552898671188187,0,-0.002552898671188186
5,1,0,1,0.0001219733269370637,0.0001117045126333933,0.0001026881430367041
5,1,1,1,0.003035462166664576,0.003035062810149747,3.993565148290024e-06
5,1,2,1,2.43878348799853e-06,0,2.43878348799853e-05
5,1,3,1,-6.292647260833228e-08,0,-6.292647260833228e-07
5,1,4,1,0,0,0
5,1,5,1,0.005118023879128832,0.005115445421442049,2.578457686783914e-05
5,1,6,1,4.035597694004855e-07,0,4.035597694004855e-06
5,1,7,1,-2.380016628353993e-06,0,-2.380016628353993e-05
5,2,0,1,-0.0004246885526370176,0,-0.004246885526370175
5,2,1,1,-0.0001784085119151555,0,-0.001784085119151554
5,2,2,1,-0.00114957316075263,0,-0.0114957316075263
5,2,3,1,0.0237180493121187,0.02394259341962233,-0.002245441075036339
5,2,4,1,0,0,0
5,2,5,1,-0.000100976888536225,0,-0.00100976888536225
5,2,6,1,-0.0007491176677434562,0,-0.007491176677434562
5,2,7,1,0.01585458082117438,0.01664401579409569,-0.007894349729213095
6,0,0,1,-0.0004016841812587119,0,-0.004016841812587119
6,0,1,1,-0.0003031130705588602,0,-0.003031130705588601
