Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T50_E50_D150.txt --cnum 50 --enum 50 --dnum 150 --tnum 50 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T50_E50_D150.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 50/50/150/50/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T50_E50_D150.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=50, M_Jnum=50, M_OPTnum=5, ops=250
  Nvar=600, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=100
  Block 1 (seq): start=100, len=250
  Block 2 (dev): start=350, len=250
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 1452.38
Gen 50: best_fit = 1012.29
Gen 100: best_fit = 989.829
Gen 150: best_fit = 983.492
Gen 200: best_fit = 979.414
Gen 250: best_fit = 964.029
Gen 300: best_fit = 958.491
Gen 350: best_fit = 957.509
Gen 400: best_fit = 956.28
Gen 450: best_fit = 955.374
Gen 500: best_fit = 954.892
Gen 550: best_fit = 954.071
Gen 600: best_fit = 953.449
Gen 650: best_fit = 952.28
Gen 700: best_fit = 951.865
Gen 750: best_fit = 951.701
Gen 800: best_fit = 951.487
Gen 850: best_fit = 950.993
Gen 900: best_fit = 950.859
Gen 950: best_fit = 950.672
Gen 1000: best_fit = 950.633
Gen 1050: best_fit = 950.382
Gen 1100: best_fit = 950.332
Gen 1150: best_fit = 948.75
Gen 1200: best_fit = 948.389
