=== CED_Schedule Configuration ===
Data directory: ".\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 17
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
=================================
[Initial] Loading data from: ".\\data\\data_matrix_100.txt"
Gen 2400: best_fit = 55.5891
Gen 2450: best_fit = 55.5848
Gen 2500: best_fit = 55.5811
Gen 2550: best_fit = 55.5734
Gen 2600: best_fit = 55.5667
Gen 2650: best_fit = 55.563
Gen 2700: best_fit = 55.563
Gen 2750: best_fit = 55.563
Gen 2800: best_fit = 55.554
Gen 2850: best_fit = 55.5509
Gen 2900: best_fit = 55.5506
Gen 2950: best_fit = 55.5503
Gen 3000: best_fit = 55.5503
Gen 3050: best_fit = 55.5466
Gen 3100: best_fit = 55.5346
Gen 3150: best_fit = 55.5306
Gen 3200: best_fit = 55.5306
Gen 3250: best_fit = 55.5272
Gen 3300: best_fit = 55.5204
Gen 3350: best_fit = 55.5134
Gen 3400: best_fit = 55.5063
Gen 3450: best_fit = 55.498
Gen 3500: best_fit = 55.493
Gen 3550: best_fit = 55.4785
Gen 3600: best_fit = 55.4745
Gen 3650: best_fit = 55.4742
Gen 3700: best_fit = 55.4699
Gen 3750: best_fit = 55.4662
Gen 3800: best_fit = 55.4619
Gen 3850: best_fit = 55.4576
Gen 3900: best_fit = 55.4533
Gen 3950: best_fit = 55.4499
Gen 4000: best_fit = 55.4459
Gen 4050: best_fit = 55.44
Gen 4100: best_fit = 55.4336
Gen 4150: best_fit = 55.4327
Gen 4200: best_fit = 55.428
Gen 4250: best_fit = 55.4209
Gen 4300: best_fit = 55.416
Gen 4350: best_fit = 55.4089
Gen 4400: best_fit = 55.4009
Gen 4450: best_fit = 55.4003
Gen 4500: best_fit = 55.3932
Gen 4550: best_fit = 55.3926
Gen 4600: best_fit = 55.3926
Gen 4650: best_fit = 55.3889
Gen 4700: best_fit = 55.3855
Gen 4750: best_fit = 55.3812
Gen 4800: best_fit = 55.3741
Gen 4850: best_fit = 55.3707
Gen 4900: best_fit = 55.3677
Gen 4950: best_fit = 55.3643
Gen 5000: best_fit = 55.364
Gen 5050: best_fit = 55.3606
Gen 5100: best_fit = 55.3569
Gen 5150: best_fit = 55.3532
Gen 5200: best_fit = 55.3495
Gen 5250: best_fit = 55.3489
Gen 5300: best_fit = 55.3421
Gen 5350: best_fit = 55.335
Gen 5400: best_fit = 55.3307
Gen 5450: best_fit = 55.3276
Gen 5500: best_fit = 55.3264
Gen 5550: best_fit = 55.3261
Gen 5600: best_fit = 55.3258
Gen 5650: best_fit = 55.3245
Gen 5700: best_fit = 55.3205
Gen 5750: best_fit = 55.3171
Gen 5800: best_fit = 55.3159
Gen 5850: best_fit = 55.3156
Gen 5900: best_fit = 55.3119
Gen 5950: best_fit = 55.3079
Gen 6000: best_fit = 55.3014
Gen 6050: best_fit = 55.3014
Gen 6100: best_fit = 55.2974
Gen 6150: best_fit = 55.2937
Gen 6200: best_fit = 55.2931
Gen 6250: best_fit = 55.2931
Gen 6300: best_fit = 55.2866
Gen 6350: best_fit = 55.2863
Gen 6400: best_fit = 55.2854
Gen 6450: best_fit = 55.2854
Gen 6500: best_fit = 55.282
Gen 6550: best_fit = 55.282
Gen 6600: best_fit = 55.2777
Gen 6650: best_fit = 55.2774
Gen 6700: best_fit = 55.274
Gen 6750: best_fit = 55.2706
Gen 6800: best_fit = 55.2697
Gen 6850: best_fit = 55.2632
Gen 6900: best_fit = 55.2632
Gen 6950: best_fit = 55.2626
Gen 7000: best_fit = 55.2589
Gen 7050: best_fit = 55.2589
Gen 7100: best_fit = 55.2586
Gen 7150: best_fit = 55.2577
Gen 7200: best_fit = 55.2577
Gen 7250: best_fit = 55.2571
Gen 7300: best_fit = 55.2494
Gen 7350: best_fit = 55.2491
Gen 7400: best_fit = 55.246
Gen 7450: best_fit = 55.2429
Gen 7500: best_fit = 55.2429
Gen 7550: best_fit = 55.2426
Gen 7600: best_fit = 55.2398
Gen 7650: best_fit = 55.2395
Gen 7700: best_fit = 55.2364
Gen 7750: best_fit = 55.2327
Gen 7800: best_fit = 55.2327
Gen 7850: best_fit = 55.2293
Gen 7900: best_fit = 55.2281
Gen 7950: best_fit = 55.2281
Gen 8000: best_fit = 55.225
Gen 8050: best_fit = 55.2213
Gen 8100: best_fit = 55.2213
Gen 8150: best_fit = 55.2183
Gen 8200: best_fit = 55.2179
Gen 8250: best_fit = 55.2146
Gen 8300: best_fit = 55.2146
Gen 8350: best_fit = 55.2146
Gen 8400: best_fit = 55.2112
Gen 8450: best_fit = 55.2112
Gen 8500: best_fit = 55.2081
Gen 8550: best_fit = 55.2081
Gen 8600: best_fit = 55.2019
Gen 8650: best_fit = 55.1979
Gen 8700: best_fit = 55.1979
Gen 8750: best_fit = 55.1955
Gen 8800: best_fit = 55.1945
Gen 8850: best_fit = 55.1911
Gen 8900: best_fit = 55.1911
Gen 8950: best_fit = 55.1911
Gen 9000: best_fit = 55.1911
Gen 9050: best_fit = 55.1911
Gen 9100: best_fit = 55.1868
Gen 9150: best_fit = 55.1868
Gen 9200: best_fit = 55.1862
Gen 9250: best_fit = 55.1862
Gen 9300: best_fit = 55.1859
Gen 9350: best_fit = 55.1859
Gen 9400: best_fit = 55.1819
Gen 9450: best_fit = 55.1819
Gen 9500: best_fit = 55.1819
Gen 9550: best_fit = 55.1819
Gen 9600: best_fit = 55.1819
Gen 9650: best_fit = 55.1819
Gen 9700: best_fit = 55.1782
Gen 9750: best_fit = 55.1782
Gen 9800: best_fit = 55.1782
Gen 9850: best_fit = 55.1782
Gen 9900: best_fit = 55.1739
Gen 9950: best_fit = 55.1739
Gen 10000: best_fit = 55.1739

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 55.1739
Time = 81.7 s

