scale,block,operator,freq,avg_reward,contribution,rank
100,offload,GA,0.24258084232979593,0.015092243225245912,0.0036610890742263093,3.0
100,offload,DE,0.3763157959806026,0.015427849030121517,0.005805743288038747,1.0
100,offload,BITFLIP,0.2432221918172822,0.01538180024432855,0.0037411951695211967,2.0
100,offload,RESAMPLE,0.13788116987231913,0.01532569571109344,0.0021131248537527474,4.0
100,seq,GA,0.2430290858886175,0.015095284606236858,0.0036685932190822627,2.0
100,seq,SWAP,0.3765465930063917,0.015445210146554512,0.0058158412589528535,1.0
100,seq,VNS,0.2426306576076335,0.015077067762005498,0.0036581588658902453,3.0
100,seq,RESAMPLE,0.13779366349735717,0.015441414712132298,0.002127729102766698,4.0
100,dev,DE,0.241759087887524,0.015414065370793095,0.0037264903846816085,3.0
100,dev,GDE,0.37738872429113146,0.015451977643753912,0.005831402130751372,1.0
100,dev,LEVY,0.24336448642226402,0.015350338885667152,0.003735727339318095,2.0
100,dev,RESAMPLE,0.13748770139908043,0.015284459383041148,0.0021014251877019344,4.0
200,offload,GA,0.24312529812130423,0.015248112919262272,0.0037072019992829505,3.0
200,offload,DE,0.3762390118621594,0.01523737041154893,0.0057328931870188745,1.0
200,offload,BITFLIP,0.2428583039045679,0.015492714681191089,0.003762534410351466,2.0
200,offload,RESAMPLE,0.13777738611196835,0.015273746763122403,0.0021043769051591423,4.0
200,seq,GA,0.24317957060778253,0.015213744664231964,0.0036996718947843715,3.0
200,seq,SWAP,0.3765209907035571,0.01510352467403823,0.005686794073384494,1.0
200,seq,VNS,0.2424563280206192,0.01526382704404089,0.0037008114566399763,2.0
200,seq,RESAMPLE,0.13784311066804106,0.015255611322066208,0.0021028809197761924,4.0
200,dev,DE,0.24271453581075253,0.015269805344758492,0.003706203716173605,2.0
200,dev,GDE,0.3769626604740986,0.015272761776138174,0.005757260911920165,1.0
200,dev,LEVY,0.2426809962442353,0.015063962517820136,0.00365573743121041,3.0
200,dev,RESAMPLE,0.13764180747091348,0.0152077172457934,0.002093217689217586,4.0
500,offload,GA,0.24273544096617095,0.015052087897259835,0.0036536751932029305,3.0
500,offload,DE,0.3769293684543856,0.01552900901242762,0.005853339559776806,1.0
500,offload,BITFLIP,0.2428091128142837,0.0152012464680859,0.003691001168587201,2.0
500,offload,RESAMPLE,0.13752607776515965,0.01508901542755474,0.002075133109089587,4.0
500,seq,GA,0.24313671090433325,0.015626210533293664,0.0037993054329636686,2.0
500,seq,SWAP,0.3773445424492987,0.01552080023252484,0.005856689262189054,1.0
500,seq,VNS,0.24260837907352487,0.014980532250596073,0.0036344026469757765,3.0
500,seq,RESAMPLE,0.13691036757284297,0.015398300779272357,0.002108187019687373,4.0
500,dev,DE,0.24285493944159578,0.015253432695929424,0.0037043714736463974,3.0
500,dev,GDE,0.3770591498234765,0.015335854186889809,0.0057825241415254735,1.0
500,dev,LEVY,0.24315528698667974,0.015318250822372008,0.0037247136748478084,2.0
500,dev,RESAMPLE,0.13693062374824785,0.015728051656623564,0.0021536519236861275,4.0
